km_prova,desnivel_positivo,desnivel_negativo
0,0.0,0.0
1,13.0,-9.0
2,88.0,0.0
3,58.0,0.0
4,46.0,-81.0
5,41.0,-58.0
6,128.0,-11.0
7,228.0,-7.0
8,1.0,-243.0
9,1.0,-122.0
10,9.0,-69.0
11,193.0,-37.0
12,68.0,-27.0
13,79.0,-18.0
14,83.0,0.0
15,50.0,-15.0
16,161.0,-26.0
17,354.0,-2.0
18,167.0,-42.0
19,299.0,-30.0
20,15.0,-329.0
21,7.0,-162.0
22,149.0,-17.0
23,271.0,-13.0
24,20.0,-145.0
25,6.0,-137.0
26,39.0,-136.0
27,3.0,-247.0
28,0.0,-251.0
29,1.0,-122.0
30,0.0,-141.0
31,1.0,-79.0
32,44.0,-1.0
33,143.0,-1.0
34,11.0,-52.0
35,2.0,-151.0
36,8.0,-9.0
37,0.0,0.0
